date,mac_score,liquidity,valuation,positioning,volatility,policy,contagion,private_credit,interpretation,crisis_event,data_quality,momentum_1w,momentum_4w,trend_direction,mac_status,is_deteriorating
1998-01-01,0.6336825396825396,0.37499999999999956,0.6044444444444445,0.5,0.8663333333333333,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,Asian Financial Crisis,fair,,,unknown,CAUTIOUS,False
1998-01-08,0.6167777777777778,0.29999999999999966,0.6277777777777778,0.5,0.7996666666666666,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,Asian Financial Crisis,fair,-0.016904761904761867,,stable,CAUTIOUS,False
1998-01-15,0.5661904761904761,0.3583333333333332,0.63,0.5,0.885,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Asian Financial Crisis,fair,-0.050587301587301625,,rapidly_declining,CAUTIOUS,False
1998-01-22,0.5632063492063492,0.33333333333333304,0.6244444444444445,0.5,0.8946666666666667,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Asian Financial Crisis,fair,-0.002984126984126978,-0.07047619047619047,declining,DETERIORATING,True
1998-01-29,0.5784126984126983,0.38333333333333275,0.6305555555555555,0.5,0.9450000000000001,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Asian Financial Crisis,fair,0.015206349206349112,-0.05526984126984136,declining,DETERIORATING,True
1998-02-05,0.6493333333333333,0.3583333333333332,0.64,0.5,0.9570000000000001,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.07092063492063505,0.03255555555555556,stable,CAUTIOUS,False
1998-02-12,0.5866666666666667,0.37500000000000033,0.6416666666666666,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.06266666666666665,0.020476190476190537,stable,CAUTIOUS,False
1998-02-19,0.5842063492063492,0.36666666666666714,0.6327777777777778,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.002460317460317496,0.02100000000000002,stable,CAUTIOUS,False
1998-02-26,0.5984920634920634,0.4783333333333334,0.6211111111111111,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,0.014285714285714235,0.02007936507936514,stable,CAUTIOUS,False
1998-03-05,0.6386666666666667,0.30833333333333357,0.6033333333333333,0.5,0.9690000000000001,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.04017460317460331,-0.010666666666666602,stable,CAUTIOUS,False
1998-03-12,0.5652380952380952,0.2450000000000001,0.6216666666666667,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.07342857142857151,-0.021428571428571463,stable,CAUTIOUS,False
1998-03-19,0.5725396825396825,0.3166666666666667,0.601111111111111,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,0.0073015873015872534,-0.011666666666666714,stable,CAUTIOUS,False
1998-03-26,0.5629682539682539,0.3583333333333332,0.5861111111111111,0.5,0.9063333333333334,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.009571428571428564,-0.03552380952380951,declining,CAUTIOUS,False
1998-04-02,0.6244603174603174,0.24499999999999963,0.6022222222222222,0.5,0.9339999999999999,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.06149206349206349,-0.014206349206349334,stable,CAUTIOUS,False
1998-04-09,0.6263015873015874,0.2400000000000002,0.6044444444444445,0.5,0.9496666666666667,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.0018412698412699768,0.06106349206349215,improving,CAUTIOUS,False
1998-04-16,0.5493174603174603,0.22500000000000006,0.5988888888888889,0.5,0.9313333333333333,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.07698412698412704,-0.023222222222222144,stable,CAUTIOUS,False
1998-04-23,0.5607936507936506,0.26666666666666633,0.5888888888888889,0.5,0.98,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,0.011476190476190307,-0.0021746031746032735,stable,CAUTIOUS,False
1998-04-30,0.5513650793650793,0.18999999999999992,0.6188888888888889,0.5,0.9606666666666667,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.009428571428571342,-0.0730952380952381,declining,DETERIORATING,True
1998-05-07,0.622984126984127,0.266666666666667,0.6172222222222222,0.5,0.887,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.0716190476190477,-0.0033174603174603856,stable,CAUTIOUS,False
1998-05-14,0.5707142857142856,0.2916666666666665,0.6133333333333334,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.052269841269841355,0.021396825396825303,stable,CAUTIOUS,False
1998-05-21,0.5795238095238093,0.34999999999999937,0.6166666666666667,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,0.008809523809523712,0.018730158730158708,stable,CAUTIOUS,False
1998-05-28,0.5579841269841269,0.22499999999999964,0.6155555555555555,0.5,0.9753333333333334,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.021539682539682414,0.0066190476190476355,stable,CAUTIOUS,False
1998-06-04,0.6340317460317461,0.25,0.638888888888889,0.5,0.9593333333333334,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.07604761904761914,0.011047619047619084,stable,CAUTIOUS,False
1998-06-11,0.6243492063492063,0.24499999999999963,0.6544444444444445,0.5,0.881,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,-0.009682539682539737,0.0536349206349207,improving,CAUTIOUS,False
1998-06-18,0.5658730158730158,0.29999999999999966,0.6511111111111111,0.5,0.92,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.05847619047619057,-0.01365079365079358,stable,CAUTIOUS,False
1998-06-25,0.5636507936507935,0.20499999999999965,0.6588888888888889,0.5,0.9916666666666667,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.0022222222222222365,0.005666666666666598,stable,CAUTIOUS,False
1998-07-02,0.645079365079365,0.23,0.6955555555555556,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.08142857142857152,0.011047619047618973,stable,CAUTIOUS,False
1998-07-09,0.6446825396825397,0.23500000000000032,0.6877777777777778,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,-0.0003968253968252844,0.020333333333333425,stable,CAUTIOUS,False
1998-07-16,0.5833333333333334,0.30000000000000043,0.6933333333333334,0.5,1.0,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.061349206349206375,0.01746031746031762,stable,CAUTIOUS,False
1998-07-23,0.5629002267573695,0.2399999999999998,0.7106349206349206,0.5,0.8996666666666666,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.020433106575963866,-0.0007505668934240095,stable,CAUTIOUS,False
1998-07-30,0.5593968253968253,0.22000000000000022,0.6944444444444445,0.5,0.9113333333333333,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.003503401360544167,-0.0856825396825397,declining,DETERIORATING,True
1998-08-06,0.6069501133786848,0.20500000000000007,0.726984126984127,0.5,0.7266666666666667,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.04755328798185943,-0.03773242630385498,declining,CAUTIOUS,False
1998-08-13,0.5336009070294785,0.22000000000000022,0.7558730158730159,0.5,0.6693333333333333,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.07334920634920628,-0.04973242630385488,declining,CAUTIOUS,False
1998-08-20,0.5364625850340136,0.22000000000000022,0.7785714285714285,0.5,0.6666666666666666,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.002861678004535073,-0.026437641723355942,stable,CAUTIOUS,False
1998-08-27,0.5005969387755103,0.19500000000000028,0.8375119047619047,0.5,0.38166666666666677,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,-0.0358656462585033,-0.05879988662131508,declining,DETERIORATING,True
1998-09-03,0.5327319727891157,0.14000000000000015,0.9234571428571429,0.5,0.2856666666666667,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.0321350340136054,-0.0742181405895691,declining,DETERIORATING,True
1998-09-10,0.5115462585034013,0.14000000000000015,0.9038238095238095,0.5,0.15700000000000003,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,-0.021185714285714363,-0.022054648526077192,stable,CAUTIOUS,False
1998-09-17,0.4981513605442177,0.1350000000000002,0.9030595238095239,0.5,0.3590000000000001,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,-0.013394897959183583,-0.03831122448979585,declining,STRETCHED,False
1998-09-24,0.517293537414966,0.12000000000000015,0.8997214285714286,0.5,0.5113333333333334,0.5,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.019142176870748262,0.016696598639455718,stable,CAUTIOUS,False
